"id","facility_name","hours_type","productive_hours"
7317,"TULARE DISTRICT HOSPITAL","Environmental & Food Services",49854
7318,"TULARE DISTRICT HOSPITAL","Other",38679
7319,"TULARE DISTRICT HOSPITAL","Contracted Registry Nursing",39491
7320,"TULARE DISTRICT HOSPITAL","Contracted Other",605
7321,"TULARE DISTRICT HOSPITAL","Daily Cost Centers",247713
7322,"TULARE DISTRICT HOSPITAL","Ambulatory Cost Centers",124769
7323,"TULARE DISTRICT HOSPITAL","Ancillary Cost Centers",293574
7324,"TULARE DISTRICT HOSPITAL","Education Cost Centers",0
7325,"TULARE DISTRICT HOSPITAL","General Services Cost Centers",123915
7326,"TULARE DISTRICT HOSPITAL","Fiscal Services Cost Centers",66890
7327,"TULARE DISTRICT HOSPITAL","Administrative Services Cost Centers",99795
7328,"PORTERVILLE STATE HOSPITAL","Management & Supervision",0
7329,"PORTERVILLE STATE HOSPITAL","Technician & Specialist",0
7330,"PORTERVILLE STATE HOSPITAL","Registered Nurse",0
7331,"PORTERVILLE STATE HOSPITAL","Licensed Vocational Nurse",0
7332,"PORTERVILLE STATE HOSPITAL","Aides & Orderlies",0
7333,"PORTERVILLE STATE HOSPITAL","Clerical & Other Administrative",0
7334,"PORTERVILLE STATE HOSPITAL","Environmental & Food Services",0
7335,"PORTERVILLE STATE HOSPITAL","Other",0
7336,"PORTERVILLE STATE HOSPITAL","Contracted Registry Nursing",0
7337,"PORTERVILLE STATE HOSPITAL","Contracted Other",0
7338,"PORTERVILLE STATE HOSPITAL","Daily Cost Centers",0
7339,"PORTERVILLE STATE HOSPITAL","Ambulatory Cost Centers",0
7340,"PORTERVILLE STATE HOSPITAL","Ancillary Cost Centers",0
7341,"PORTERVILLE STATE HOSPITAL","Education Cost Centers",0
7342,"PORTERVILLE STATE HOSPITAL","General Services Cost Centers",0
7343,"PORTERVILLE STATE HOSPITAL","Fiscal Services Cost Centers",0
7344,"PORTERVILLE STATE HOSPITAL","Administrative Services Cost Centers",0
7345,"TUOLUMNE GENERAL MEDICAL FACILITY","Management & Supervision",14114
7346,"TUOLUMNE GENERAL MEDICAL FACILITY","Technician & Specialist",13134
7347,"TUOLUMNE GENERAL MEDICAL FACILITY","Registered Nurse",13006
7348,"TUOLUMNE GENERAL MEDICAL FACILITY","Licensed Vocational Nurse",15795
7349,"TUOLUMNE GENERAL MEDICAL FACILITY","Aides & Orderlies",51461
7350,"TUOLUMNE GENERAL MEDICAL FACILITY","Clerical & Other Administrative",6777
7351,"TUOLUMNE GENERAL MEDICAL FACILITY","Environmental & Food Services",15343
7352,"TUOLUMNE GENERAL MEDICAL FACILITY","Other",845
7353,"TUOLUMNE GENERAL MEDICAL FACILITY","Contracted Registry Nursing",611
7354,"TUOLUMNE GENERAL MEDICAL FACILITY","Contracted Other",1081
7355,"TUOLUMNE GENERAL MEDICAL FACILITY","Daily Cost Centers",91264
7356,"TUOLUMNE GENERAL MEDICAL FACILITY","Ambulatory Cost Centers",0
7357,"TUOLUMNE GENERAL MEDICAL FACILITY","Ancillary Cost Centers",3530
7358,"TUOLUMNE GENERAL MEDICAL FACILITY","Education Cost Centers",0
7359,"TUOLUMNE GENERAL MEDICAL FACILITY","General Services Cost Centers",20655
7360,"TUOLUMNE GENERAL MEDICAL FACILITY","Fiscal Services Cost Centers",981
7361,"TUOLUMNE GENERAL MEDICAL FACILITY","Administrative Services Cost Centers",15737
7362,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Management & Supervision",137107
7363,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Technician & Specialist",319805
7364,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Registered Nurse",320492
7365,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Licensed Vocational Nurse",45911
7366,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Aides & Orderlies",106747
7367,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Clerical & Other Administrative",455321
7368,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Environmental & Food Services",0
7369,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Other",253193
7370,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Contracted Registry Nursing",22276
7371,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Contracted Other",2207
7372,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Daily Cost Centers",320238
7373,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Ambulatory Cost Centers",410912
7374,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Ancillary Cost Centers",383707
7375,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Education Cost Centers",0
7376,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","General Services Cost Centers",231655
7377,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Fiscal Services Cost Centers",158038
7378,"SONORA REGIONAL MEDICAL CENTER-GREENLEY","Administrative Services Cost Centers",149072
7379,"AURORA VISTA DEL MAR HOSPITAL","Management & Supervision",33213
7380,"AURORA VISTA DEL MAR HOSPITAL","Technician & Specialist",58368
7381,"AURORA VISTA DEL MAR HOSPITAL","Registered Nurse",43471
7382,"AURORA VISTA DEL MAR HOSPITAL","Licensed Vocational Nurse",33070
7383,"AURORA VISTA DEL MAR HOSPITAL","Aides & Orderlies",82663
7384,"AURORA VISTA DEL MAR HOSPITAL","Clerical & Other Administrative",22532
7385,"AURORA VISTA DEL MAR HOSPITAL","Environmental & Food Services",32981
7386,"AURORA VISTA DEL MAR HOSPITAL","Other",0
7387,"AURORA VISTA DEL MAR HOSPITAL","Contracted Registry Nursing",0
7388,"AURORA VISTA DEL MAR HOSPITAL","Contracted Other",0
7389,"AURORA VISTA DEL MAR HOSPITAL","Daily Cost Centers",164206
7390,"AURORA VISTA DEL MAR HOSPITAL","Ambulatory Cost Centers",7848
7391,"AURORA VISTA DEL MAR HOSPITAL","Ancillary Cost Centers",0
7392,"AURORA VISTA DEL MAR HOSPITAL","Education Cost Centers",0
7393,"AURORA VISTA DEL MAR HOSPITAL","General Services Cost Centers",64818
7394,"AURORA VISTA DEL MAR HOSPITAL","Fiscal Services Cost Centers",22931
7395,"AURORA VISTA DEL MAR HOSPITAL","Administrative Services Cost Centers",46495
7396,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Management & Supervision",280540
7397,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Technician & Specialist",600877
7398,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Registered Nurse",789280
7399,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Licensed Vocational Nurse",60921
7400,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Aides & Orderlies",148463
7401,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Clerical & Other Administrative",511662
7402,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Environmental & Food Services",178850
7403,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Other",148887
7404,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Contracted Registry Nursing",8107
7405,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Contracted Other",20556
7406,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Daily Cost Centers",670552
7407,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Ambulatory Cost Centers",496047
7408,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Ancillary Cost Centers",788614
7409,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Education Cost Centers",0
7410,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","General Services Cost Centers",479151
7411,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Fiscal Services Cost Centers",59577
7412,"COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA","Administrative Services Cost Centers",254202
7413,"VENTURA COUNTY MEDICAL CENTER","Management & Supervision",252200
7414,"VENTURA COUNTY MEDICAL CENTER","Technician & Specialist",905804
7415,"VENTURA COUNTY MEDICAL CENTER","Registered Nurse",687191
7416,"VENTURA COUNTY MEDICAL CENTER","Licensed Vocational Nurse",64786
7417,"VENTURA COUNTY MEDICAL CENTER","Aides & Orderlies",364502
7418,"VENTURA COUNTY MEDICAL CENTER","Clerical & Other Administrative",854381
7419,"VENTURA COUNTY MEDICAL CENTER","Environmental & Food Services",267644
7420,"VENTURA COUNTY MEDICAL CENTER","Other",161940
7421,"VENTURA COUNTY MEDICAL CENTER","Contracted Registry Nursing",23393
7422,"VENTURA COUNTY MEDICAL CENTER","Contracted Other",26315
7423,"VENTURA COUNTY MEDICAL CENTER","Daily Cost Centers",783821
7424,"VENTURA COUNTY MEDICAL CENTER","Ambulatory Cost Centers",1448344
7425,"VENTURA COUNTY MEDICAL CENTER","Ancillary Cost Centers",566187
7426,"VENTURA COUNTY MEDICAL CENTER","Education Cost Centers",84483
7427,"VENTURA COUNTY MEDICAL CENTER","General Services Cost Centers",399704
7428,"VENTURA COUNTY MEDICAL CENTER","Fiscal Services Cost Centers",62266
7429,"VENTURA COUNTY MEDICAL CENTER","Administrative Services Cost Centers",260680
7430,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Management & Supervision",137072
7431,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Technician & Specialist",388230
7432,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Registered Nurse",857879
7433,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Licensed Vocational Nurse",10893
7434,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Aides & Orderlies",322506
7435,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Clerical & Other Administrative",142605
7436,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Environmental & Food Services",154895
7437,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Other",0
7438,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Contracted Registry Nursing",38304
7439,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Contracted Other",11362
7440,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Daily Cost Centers",814213
7441,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Ambulatory Cost Centers",92903
7442,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Ancillary Cost Centers",595802
7443,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Education Cost Centers",0
7444,"LOS ROBLES HOSPITAL & MEDICAL CENTER","General Services Cost Centers",332697
7445,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Fiscal Services Cost Centers",11067
7446,"LOS ROBLES HOSPITAL & MEDICAL CENTER","Administrative Services Cost Centers",217064
7447,"OJAI VALLEY COMMUNITY HOSPITAL","Management & Supervision",48029
7448,"OJAI VALLEY COMMUNITY HOSPITAL","Technician & Specialist",84060
7449,"OJAI VALLEY COMMUNITY HOSPITAL","Registered Nurse",75334
7450,"OJAI VALLEY COMMUNITY HOSPITAL","Licensed Vocational Nurse",23757
7451,"OJAI VALLEY COMMUNITY HOSPITAL","Aides & Orderlies",63025
7452,"OJAI VALLEY COMMUNITY HOSPITAL","Clerical & Other Administrative",42050
7453,"OJAI VALLEY COMMUNITY HOSPITAL","Environmental & Food Services",43103
7454,"OJAI VALLEY COMMUNITY HOSPITAL","Other",9777
7455,"OJAI VALLEY COMMUNITY HOSPITAL","Contracted Registry Nursing",4297
7456,"OJAI VALLEY COMMUNITY HOSPITAL","Contracted Other",1170
7457,"OJAI VALLEY COMMUNITY HOSPITAL","Daily Cost Centers",159222
7458,"OJAI VALLEY COMMUNITY HOSPITAL","Ambulatory Cost Centers",32445
7459,"OJAI VALLEY COMMUNITY HOSPITAL","Ancillary Cost Centers",89028
7460,"OJAI VALLEY COMMUNITY HOSPITAL","Education Cost Centers",0
7461,"OJAI VALLEY COMMUNITY HOSPITAL","General Services Cost Centers",75309
7462,"OJAI VALLEY COMMUNITY HOSPITAL","Fiscal Services Cost Centers",4932
7463,"OJAI VALLEY COMMUNITY HOSPITAL","Administrative Services Cost Centers",33666
7464,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Management & Supervision",82607
7465,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Technician & Specialist",164039
7466,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Registered Nurse",316045
7467,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Licensed Vocational Nurse",54928
7468,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Aides & Orderlies",79616
7469,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Clerical & Other Administrative",108563
7470,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Environmental & Food Services",69787
7471,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Other",23181
7472,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Contracted Registry Nursing",0
7473,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Contracted Other",0
7474,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Daily Cost Centers",360069
7475,"THOUSAND OAKS SURGICAL HOSPITAL","Licensed Vocational Nurse",0
7476,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Ambulatory Cost Centers",52808
7477,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Ancillary Cost Centers",223957
7478,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Education Cost Centers",0
7479,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","General Services Cost Centers",141416
7480,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Fiscal Services Cost Centers",39243
7481,"ST. JOHN''S PLEASANT VALLEY HOSPITAL","Administrative Services Cost Centers",81273
7482,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Management & Supervision",98150
7483,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Technician & Specialist",331052
7484,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Registered Nurse",586274
7485,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Licensed Vocational Nurse",31489
7486,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Aides & Orderlies",107666
7487,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Clerical & Other Administrative",301072
7488,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Environmental & Food Services",69345
7489,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Other",11524
7490,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Contracted Registry Nursing",33933
7491,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Contracted Other",3443
7492,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Daily Cost Centers",539602
7493,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Ambulatory Cost Centers",149281
7494,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Ancillary Cost Centers",416622
7495,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Education Cost Centers",0
7496,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","General Services Cost Centers",160839
7497,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Fiscal Services Cost Centers",137895
7498,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE","Administrative Services Cost Centers",169709
7499,"ST. JOHN''S REGIONAL MEDICAL CENTER","Management & Supervision",150280
7500,"ST. JOHN''S REGIONAL MEDICAL CENTER","Technician & Specialist",466030
7501,"ST. JOHN''S REGIONAL MEDICAL CENTER","Registered Nurse",827409
7502,"ST. JOHN''S REGIONAL MEDICAL CENTER","Licensed Vocational Nurse",13046
7503,"ST. JOHN''S REGIONAL MEDICAL CENTER","Aides & Orderlies",101505
7504,"ST. JOHN''S REGIONAL MEDICAL CENTER","Clerical & Other Administrative",260053
7505,"ST. JOHN''S REGIONAL MEDICAL CENTER","Environmental & Food Services",163229
7506,"ST. JOHN''S REGIONAL MEDICAL CENTER","Other",2426
7507,"ST. JOHN''S REGIONAL MEDICAL CENTER","Contracted Registry Nursing",0
7508,"ST. JOHN''S REGIONAL MEDICAL CENTER","Contracted Other",0
7509,"ST. JOHN''S REGIONAL MEDICAL CENTER","Daily Cost Centers",654149
7510,"ST. JOHN''S REGIONAL MEDICAL CENTER","Ambulatory Cost Centers",119038
7511,"ST. JOHN''S REGIONAL MEDICAL CENTER","Ancillary Cost Centers",605813
7512,"ST. JOHN''S REGIONAL MEDICAL CENTER","Education Cost Centers",2525
7513,"ST. JOHN''S REGIONAL MEDICAL CENTER","General Services Cost Centers",327314
7514,"ST. JOHN''S REGIONAL MEDICAL CENTER","Fiscal Services Cost Centers",79634
7515,"ST. JOHN''S REGIONAL MEDICAL CENTER","Administrative Services Cost Centers",195505
7516,"PACIFIC SHORES HOSPITAL","Management & Supervision",4520
7517,"PACIFIC SHORES HOSPITAL","Technician & Specialist",12122
7518,"PACIFIC SHORES HOSPITAL","Registered Nurse",10394
7519,"PACIFIC SHORES HOSPITAL","Licensed Vocational Nurse",9957
7520,"PACIFIC SHORES HOSPITAL","Aides & Orderlies",14570
7521,"PACIFIC SHORES HOSPITAL","Clerical & Other Administrative",6695
7522,"PACIFIC SHORES HOSPITAL","Environmental & Food Services",16637
7523,"PACIFIC SHORES HOSPITAL","Other",0
7524,"PACIFIC SHORES HOSPITAL","Contracted Registry Nursing",88
7525,"PACIFIC SHORES HOSPITAL","Contracted Other",0
7526,"PACIFIC SHORES HOSPITAL","Daily Cost Centers",30755
7527,"PACIFIC SHORES HOSPITAL","Ambulatory Cost Centers",4614
7528,"PACIFIC SHORES HOSPITAL","Ancillary Cost Centers",0
7529,"PACIFIC SHORES HOSPITAL","Education Cost Centers",0
7530,"PACIFIC SHORES HOSPITAL","General Services Cost Centers",28759
7531,"PACIFIC SHORES HOSPITAL","Fiscal Services Cost Centers",4514
7532,"PACIFIC SHORES HOSPITAL","Administrative Services Cost Centers",6341
7533,"THOUSAND OAKS SURGICAL HOSPITAL","Management & Supervision",17356
7534,"THOUSAND OAKS SURGICAL HOSPITAL","Technician & Specialist",25554
7535,"THOUSAND OAKS SURGICAL HOSPITAL","Registered Nurse",60421
7536,"THOUSAND OAKS SURGICAL HOSPITAL","Aides & Orderlies",5266
7537,"THOUSAND OAKS SURGICAL HOSPITAL","Clerical & Other Administrative",27445
7538,"THOUSAND OAKS SURGICAL HOSPITAL","Environmental & Food Services",0
7539,"THOUSAND OAKS SURGICAL HOSPITAL","Other",0
7540,"THOUSAND OAKS SURGICAL HOSPITAL","Contracted Registry Nursing",356
7541,"THOUSAND OAKS SURGICAL HOSPITAL","Contracted Other",0
7542,"THOUSAND OAKS SURGICAL HOSPITAL","Daily Cost Centers",25079
7543,"THOUSAND OAKS SURGICAL HOSPITAL","Ambulatory Cost Centers",0
7544,"THOUSAND OAKS SURGICAL HOSPITAL","Ancillary Cost Centers",70925
7545,"THOUSAND OAKS SURGICAL HOSPITAL","Education Cost Centers",0
7546,"THOUSAND OAKS SURGICAL HOSPITAL","General Services Cost Centers",9129
7547,"THOUSAND OAKS SURGICAL HOSPITAL","Fiscal Services Cost Centers",19666
7548,"THOUSAND OAKS SURGICAL HOSPITAL","Administrative Services Cost Centers",11599
7549,"WOODLAND MEMORIAL HOSPITAL","Management & Supervision",83088
7550,"WOODLAND MEMORIAL HOSPITAL","Technician & Specialist",241431
7551,"WOODLAND MEMORIAL HOSPITAL","Registered Nurse",241954
7552,"WOODLAND MEMORIAL HOSPITAL","Licensed Vocational Nurse",7993
7553,"WOODLAND MEMORIAL HOSPITAL","Aides & Orderlies",41329
7554,"WOODLAND MEMORIAL HOSPITAL","Clerical & Other Administrative",184018
7555,"WOODLAND MEMORIAL HOSPITAL","Environmental & Food Services",71123
7556,"WOODLAND MEMORIAL HOSPITAL","Other",68190
7557,"WOODLAND MEMORIAL HOSPITAL","Contracted Registry Nursing",21543
7558,"WOODLAND MEMORIAL HOSPITAL","Contracted Other",39231
7559,"WOODLAND MEMORIAL HOSPITAL","Daily Cost Centers",200070
7560,"WOODLAND MEMORIAL HOSPITAL","Ambulatory Cost Centers",119477
7561,"WOODLAND MEMORIAL HOSPITAL","Ancillary Cost Centers",284490
7562,"WOODLAND MEMORIAL HOSPITAL","Education Cost Centers",0
7563,"WOODLAND MEMORIAL HOSPITAL","General Services Cost Centers",212217
7564,"WOODLAND MEMORIAL HOSPITAL","Fiscal Services Cost Centers",41082
7565,"WOODLAND MEMORIAL HOSPITAL","Administrative Services Cost Centers",129602
7566,"SUTTER DAVIS HOSPITAL","Management & Supervision",43805
7567,"SUTTER DAVIS HOSPITAL","Technician & Specialist",140960
7568,"SUTTER DAVIS HOSPITAL","Registered Nurse",202594
7569,"SUTTER DAVIS HOSPITAL","Licensed Vocational Nurse",0
7570,"SUTTER DAVIS HOSPITAL","Aides & Orderlies",22099
7571,"SUTTER DAVIS HOSPITAL","Clerical & Other Administrative",56083
7572,"SUTTER DAVIS HOSPITAL","Environmental & Food Services",46119
7573,"SUTTER DAVIS HOSPITAL","Other",36
7574,"SUTTER DAVIS HOSPITAL","Contracted Registry Nursing",14860
7575,"SUTTER DAVIS HOSPITAL","Contracted Other",3671
7576,"SUTTER DAVIS HOSPITAL","Daily Cost Centers",131716
7577,"SUTTER DAVIS HOSPITAL","Ambulatory Cost Centers",63913
7578,"SUTTER DAVIS HOSPITAL","Ancillary Cost Centers",212421
7579,"SUTTER DAVIS HOSPITAL","Education Cost Centers",0
7580,"SUTTER DAVIS HOSPITAL","General Services Cost Centers",77400
7581,"SUTTER DAVIS HOSPITAL","Fiscal Services Cost Centers",7654
7582,"SUTTER DAVIS HOSPITAL","Administrative Services Cost Centers",37123
7583,"RIDEOUT MEMORIAL HOSPITAL","Management & Supervision",184041
7584,"RIDEOUT MEMORIAL HOSPITAL","Technician & Specialist",543882
7585,"RIDEOUT MEMORIAL HOSPITAL","Registered Nurse",751560
7586,"RIDEOUT MEMORIAL HOSPITAL","Licensed Vocational Nurse",77645
7587,"RIDEOUT MEMORIAL HOSPITAL","Aides & Orderlies",102964
7588,"RIDEOUT MEMORIAL HOSPITAL","Clerical & Other Administrative",458829
7589,"RIDEOUT MEMORIAL HOSPITAL","Environmental & Food Services",242293
7590,"RIDEOUT MEMORIAL HOSPITAL","Other",186569
7591,"RIDEOUT MEMORIAL HOSPITAL","Contracted Registry Nursing",124723
7592,"RIDEOUT MEMORIAL HOSPITAL","Contracted Other",54180
7593,"RIDEOUT MEMORIAL HOSPITAL","Daily Cost Centers",830711
7594,"RIDEOUT MEMORIAL HOSPITAL","Ambulatory Cost Centers",228137
7595,"RIDEOUT MEMORIAL HOSPITAL","Ancillary Cost Centers",827064
7596,"RIDEOUT MEMORIAL HOSPITAL","Education Cost Centers",0
7597,"RIDEOUT MEMORIAL HOSPITAL","General Services Cost Centers",403155
7598,"RIDEOUT MEMORIAL HOSPITAL","Fiscal Services Cost Centers",141415
7599,"RIDEOUT MEMORIAL HOSPITAL","Administrative Services Cost Centers",296204
7600,"ALAMEDA HOSPITAL","Management & Supervision",65378
7601,"ALAMEDA HOSPITAL","Technician & Specialist",182149
7602,"ALAMEDA HOSPITAL","Registered Nurse",182755
7603,"ALAMEDA HOSPITAL","Licensed Vocational Nurse",22696
7604,"ALAMEDA HOSPITAL","Aides & Orderlies",100801
7605,"ALAMEDA HOSPITAL","Clerical & Other Administrative",130658
7606,"ALAMEDA HOSPITAL","Environmental & Food Services",80320
7607,"ALAMEDA HOSPITAL","Other",7748
7608,"ALAMEDA HOSPITAL","Contracted Registry Nursing",27750
7609,"ALAMEDA HOSPITAL","Contracted Other",4629
7610,"ALAMEDA HOSPITAL","Daily Cost Centers",274567
7611,"ALAMEDA HOSPITAL","Ambulatory Cost Centers",52880
7612,"ALAMEDA HOSPITAL","Ancillary Cost Centers",190159
7613,"ALAMEDA HOSPITAL","Education Cost Centers",0
7614,"ALAMEDA HOSPITAL","General Services Cost Centers",147835
7615,"ALAMEDA HOSPITAL","Fiscal Services Cost Centers",57712
7616,"ALAMEDA HOSPITAL","Administrative Services Cost Centers",81731
7617,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Management & Supervision",211076
7618,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Technician & Specialist",859482
7619,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Registered Nurse",1375268
7620,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Licensed Vocational Nurse",105179
7621,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Aides & Orderlies",206562
7622,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Clerical & Other Administrative",553681
7623,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Environmental & Food Services",377447
7624,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Other",216845
7625,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Contracted Registry Nursing",90407
7626,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Contracted Other",61791
7627,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Daily Cost Centers",1493418
7628,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Ambulatory Cost Centers",252388
7629,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Ancillary Cost Centers",1079996
7630,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Education Cost Centers",1999
7631,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","General Services Cost Centers",635264
7632,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Fiscal Services Cost Centers",77076
7633,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Administrative Services Cost Centers",517517
7634,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Management & Supervision",370199
7635,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Technician & Specialist",1266323
7636,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Registered Nurse",874234
7637,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Licensed Vocational Nurse",31136
7638,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Aides & Orderlies",81549
7639,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Clerical & Other Administrative",678144
7640,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Environmental & Food Services",245630
7641,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Other",249204
7642,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Contracted Registry Nursing",15719
7643,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Contracted Other",126646
7644,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Daily Cost Centers",826211
7645,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Ambulatory Cost Centers",440970
7646,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Ancillary Cost Centers",889675
7647,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Education Cost Centers",669841
7648,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","General Services Cost Centers",622594
7649,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Fiscal Services Cost Centers",196520
