"id","facility_name","county_name","productive_hours","productive_hours_per_adjusted_patient_day"
9369,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",218536,4.04
9370,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",471046,8.71
9371,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",7162,0.13
9372,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",95592,1.77
9373,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",194247,3.59
9374,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",12881,0.24
9375,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",6759,0.12
9376,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",51861,0.96
9377,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",2584,0.05
9378,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",467574,8.64
9379,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",96983,1.79
9380,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",346460,6.4
9381,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",0,0.0
9382,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",75226,1.39
9383,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",59892,1.11
9384,"LAKEWOOD REGIONAL MEDICAL CENTER","Los Angeles",113442,2.1
9385,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",139102,2.18
9386,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",561346,8.78
9387,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",580484,9.08
9388,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",20842,0.33
9389,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",168697,2.64
9390,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",294192,4.6
9391,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",187254,2.93
9392,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",58491,0.91
9393,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",0,0.0
9394,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",0,0.0
9395,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",606141,9.48
9396,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",138498,2.17
9397,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",505461,7.91
9398,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",64531,1.01
9399,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",376640,5.89
9400,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",107808,1.69
9401,"DOWNEY REGIONAL MEDICAL CENTER","Los Angeles",211329,3.31
9402,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",63475,1.83
9403,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",140234,4.04
9404,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",218122,6.28
9405,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",62424,1.8
9406,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",75545,2.17
9407,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",115832,3.33
9408,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",74575,2.15
9409,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",0,0.0
9410,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",19429,0.56
9411,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",6106,0.18
9412,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",317638,9.14
9413,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",51228,1.47
9414,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",164472,4.73
9415,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",0,0.0
9416,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",113540,3.27
9417,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",39550,1.14
9418,"EAST LOS ANGELES DOCTOR''S HOSPITAL","Los Angeles",89314,2.57
9419,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",37377,1.48
9420,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",189643,7.51
9421,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",153758,6.09
9422,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",49885,1.98
9423,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",66938,2.65
9424,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",90007,3.56
9425,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",17098,0.68
9426,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",0,0.0
9427,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",6414,0.25
9428,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",4276,0.17
9429,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",255834,10.13
9430,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",36450,1.44
9431,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",119269,4.72
9432,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",0,0.0
9433,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",110200,4.36
9434,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",52181,2.07
9435,"ENCINO HOSPITAL MEDICAL CENTER","Los Angeles",41462,1.64
9436,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",90829,2.9
9437,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",144128,4.6
9438,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",236923,7.56
9439,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",14904,0.48
9440,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",37294,1.19
9441,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",134183,4.28
9442,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",72062,2.3
9443,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",65388,2.09
9444,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",11119,0.35
9445,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",9702,0.31
9446,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",280937,8.96
9447,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",75773,2.42
9448,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",214786,6.85
9449,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",0,0.0
9450,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",155453,4.96
9451,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",44604,1.42
9452,"FOOTHILL PRESBYTERIAN HOSPITAL","Los Angeles",44979,1.44
9453,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",80473,2.96
9454,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",91310,3.36
9455,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",119629,4.4
9456,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",71883,2.65
9457,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",75551,2.78
9458,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",13552,0.5
9459,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",42228,1.55
9460,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",0,0.0
9461,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",2194,0.08
9462,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",1879,0.07
9463,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",283681,10.44
9464,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",11512,0.42
9465,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",81176,2.99
9466,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",0,0.0
9467,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",57515,2.12
9468,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",9931,0.37
9469,"KINDRED HOSPITAL - LOS ANGELES","Los Angeles",54884,2.02
9470,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",111852,3.34
9471,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",78930,2.36
9472,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",188988,5.64
9473,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",35997,1.07
9474,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",71884,2.15
9475,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",168118,5.02
9476,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",121311,3.62
9477,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",36254,1.08
9478,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",18097,0.54
9479,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",31187,0.93
9480,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",260141,7.77
9481,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",29073,0.87
9482,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",181655,5.42
9483,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",0,0.0
9484,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",197996,5.91
9485,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",75573,2.26
9486,"PACIFIC ALLIANCE MEDICAL CENTER","Los Angeles",118180,3.53
9487,"GARFIELD MEDICAL CENTER","Los Angeles",120958,1.67
9488,"GARFIELD MEDICAL CENTER","Los Angeles",336837,4.65
9489,"GARFIELD MEDICAL CENTER","Los Angeles",655791,9.06
9490,"GARFIELD MEDICAL CENTER","Los Angeles",44210,0.61
9491,"GARFIELD MEDICAL CENTER","Los Angeles",101395,1.4
9492,"GARFIELD MEDICAL CENTER","Los Angeles",442399,6.11
9493,"GARFIELD MEDICAL CENTER","Los Angeles",63834,0.88
9494,"GARFIELD MEDICAL CENTER","Los Angeles",0,0.0
9495,"GARFIELD MEDICAL CENTER","Los Angeles",0,0.0
9496,"GARFIELD MEDICAL CENTER","Los Angeles",0,0.0
9497,"GARFIELD MEDICAL CENTER","Los Angeles",879340,12.15
9498,"GARFIELD MEDICAL CENTER","Los Angeles",84796,1.17
9499,"GARFIELD MEDICAL CENTER","Los Angeles",404941,5.59
9500,"GARFIELD MEDICAL CENTER","Los Angeles",0,0.0
9501,"GARFIELD MEDICAL CENTER","Los Angeles",162464,2.24
9502,"GARFIELD MEDICAL CENTER","Los Angeles",97481,1.35
9503,"GARFIELD MEDICAL CENTER","Los Angeles",136402,1.88
9504,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",86826,3.44
9505,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",282021,11.17
9506,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",14744,0.58
9507,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",19763,0.78
9508,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",18894,0.75
9509,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",56653,2.24
9510,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",67964,2.69
9511,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",0,0.0
9512,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",2193,0.09
9513,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",3644,0.14
9514,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",91376,3.62
9515,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",270939,10.73
9516,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",52868,2.09
9517,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",0,0.0
9518,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",89902,3.56
9519,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",15479,0.61
9520,"GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER","Los Angeles",32138,1.27
9521,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",302119,2.09
9522,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",984093,6.79
9523,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",1050570,7.25
9524,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",127513,0.88
9525,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",265546,1.83
9526,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",562740,3.88
9527,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",115202,0.8
9528,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",0,0.0
9529,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",28907,0.2
9530,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",13690,0.09
9531,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",1296804,8.95
9532,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",275836,1.9
9533,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",865185,5.97
9534,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",56603,0.39
9535,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",376203,2.6
9536,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",190440,1.31
9537,"GLENDALE ADVENTIST MEDICAL CENTER","Los Angeles",345085,2.38
9538,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",37951,2.42
9539,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",59285,3.79
9540,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",106049,6.77
9541,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",24451,1.56
9542,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",58715,3.75
9543,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",59301,3.79
9544,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",44944,2.87
9545,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",0,0.0
9546,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",1684,0.11
9547,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",19,0.0
9548,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",159199,10.16
9549,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",22599,1.44
9550,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",77242,4.93
9551,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",0,0.0
9552,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",64579,4.12
9553,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",30080,1.92
9554,"EAST VALLEY HOSPITAL MEDICAL CENTER","Los Angeles",38700,2.47
9555,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",79210,3.5
9556,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",124122,5.48
9557,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",172311,7.61
9558,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",29880,1.32
9559,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",22503,0.99
9560,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",109362,4.83
9561,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",28976,1.28
9562,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",1,0.0
9563,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",0,0.0
9564,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",0,0.0
9565,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",182254,8.05
9566,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",39558,1.75
9567,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",112297,4.96
9568,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",0,0.0
9569,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",68500,3.03
9570,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",81069,3.58
9571,"GREATER EL MONTE COMMUNITY HOSPITAL","Los Angeles",82687,3.65
9572,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",50038,1.24
9573,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",130630,3.25
9574,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",182775,4.54
9575,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",75061,1.86
9576,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",11344,0.28
9577,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",86904,2.16
9578,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",62258,1.55
9579,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",17168,0.43
9580,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",6301,0.16
9581,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",1457,0.04
9582,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",292103,7.26
9583,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",8699,0.22
9584,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",119694,2.97
9585,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",0,0.0
9586,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",131728,3.27
9587,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",15114,0.38
9588,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","Los Angeles",56598,1.41
9589,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",764967,6.27
9590,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",151995,1.25
9591,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",239849,1.97
9592,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",24137,0.2
9593,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",172164,1.41
9594,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",832983,6.83
9595,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",0,0.0
9596,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",3536,0.03
9597,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",17737,0.15
9598,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",9781,0.08
9599,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",1014398,8.32
9600,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",99203,0.81
9601,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",614301,5.04
9602,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",3704,0.03
9603,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",127311,1.04
9604,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",146249,1.2
9605,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","Los Angeles",190488,1.56
9606,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",227673,2.11
9607,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",717110,6.64
9608,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",805987,7.46
9609,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",62951,0.58
9610,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",302876,2.8
9611,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",396916,3.68
9612,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",176973,1.64
9613,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",130099,1.2
9614,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",45689,0.42
9615,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",18516,0.17
9616,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",1042399,9.65
9617,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",181071,1.68
9618,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",782612,7.25
9619,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",0,0.0
9620,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",416061,3.85
9621,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",97649,0.9
9622,"PROVIDENCE HOLY CROSS MEDICAL CENTER","Los Angeles",360979,3.34
9623,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",226029,2.23
9624,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",674890,6.66
9625,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",966243,9.54
9626,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",4331,0.04
9627,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",145268,1.43
9628,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",350352,3.46
9629,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",60551,0.6
9630,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",76330,0.75
9631,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",80840,0.8
9632,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",293472,2.9
9633,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",942657,9.31
9634,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",159188,1.57
9635,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",762717,7.53
9636,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",16544,0.16
9637,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",589643,5.82
9638,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",144008,1.42
9639,"GOOD SAMARITAN HOSPITAL- LA","Los Angeles",263549,2.6
9640,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",321952,2.04
9641,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",1246320,7.88
9642,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",1593065,10.07
9643,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",28569,0.18
9644,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",477914,3.02
9645,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",699308,4.42
9646,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",519322,3.28
9647,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",193000,1.22
9648,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",22530,0.14
9649,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",14256,0.09
9650,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",1635008,10.34
9651,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",265690,1.68
9652,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",1241453,7.85
9653,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",84109,0.53
9654,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",1061046,6.71
9655,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",313442,1.98
9656,"HUNTINGTON MEMORIAL HOSPITAL","Los Angeles",491878,3.11
9657,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",723975,4.57
9658,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",1034843,6.54
9659,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",1345962,8.5
9660,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",19492,0.12
9661,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",342320,2.16
9662,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",931030,5.88
9663,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",451322,2.85
9664,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",244722,1.55
9665,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",68954,0.44
9666,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",116290,0.73
9667,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",1252135,7.91
9668,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",322707,2.04
9669,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",1553467,9.81
9670,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",36560,0.23
9671,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",962990,6.08
9672,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",266365,1.68
9673,"TORRANCE MEMORIAL MEDICAL CENTER","Los Angeles",471388,2.98
9674,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",0,0.0
9675,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",0,0.0
9676,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",2029076,15.26
9677,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",36613,0.28
9678,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",310737,2.34
9679,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",0,0.0
9680,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",0,0.0
9681,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",2773910,20.86
9682,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",267473,2.01
9683,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",0,0.0
9684,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",2415368,18.17
9685,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",178243,1.34
9686,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",642264,4.83
9687,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",438418,3.3
9688,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",1045074,7.86
9689,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",0,0.0
9690,"KAISER FOUNDATION HOSPITAL - SUNSET","Los Angeles",694417,5.22
9691,"KAISER FOUNDATION HOSPITAL - HARBOR CITY","Los Angeles",0,0.0
